|	|__name_enus	|__quality	|__icon	|__screenshot	|__jsonequip__arcsplpwr	|__jsonequip__arcres	|__jsonequip__armor	|__jsonequip__def	|__jsonequip__buyprice	|__jsonequip__atkpwr	|__jsonequip__agi	|__jsonequip__classes	|__jsonequip__cooldown	|__jsonequip__avgbuyout	|__jsonequip__displayid	|__jsonequip__dmgmax1	|__jsonequip__dmgmin1	|__jsonequip__dmgrange	|__jsonequip__dmgtype1	|__jsonequip__dps	|__jsonequip__dura	|__jsonequip__feratkpwr	|__jsonequip__healthrgn	|__jsonequip__firsplpwr	|__jsonequip__itemset	|__jsonequip__firres	|__jsonequip__frores	|__jsonequip__holsplpwr	|__jsonequip__frosplpwr	|__jsonequip__int	|__jsonequip__manargn	|__jsonequip__maxcount	|__jsonequip__mlecritstrkpct	|__jsonequip__mledmgmax	|__jsonequip__mledmgmin	|__jsonequip__mledps	|__jsonequip__mlehitpct	|__jsonequip__mlespeed	|__jsonequip__natsplpwr	|__jsonequip__races	|__jsonequip__reqskill	|__jsonequip__reqskillrank	|__jsonequip__parrypct	|__jsonequip__natres	|__jsonequip__reqfaction	|__jsonequip__reqlevel	|__jsonequip__rgdatkpwr	|__jsonequip__reqrep	|__jsonequip__rgdcritstrkpct	|__jsonequip__rgddmgmax	|__jsonequip__rgddmgmin	|__jsonequip__rgddps	|__jsonequip__rgdspeed	|__jsonequip__rgdhitpct	|__jsonequip__sellprice	|__jsonequip__shasplpwr	|__jsonequip__shares	|__jsonequip__sheathtype	|__jsonequip__slotbak	|__jsonequip__speed	|__jsonequip__splpen	|__jsonequip__splcritstrkpct	|__jsonequip__splhitpct	|__jsonequip__str	|__jsonequip__spi	|__jsonequip__splheal	|__jsonequip__sta	|__jsonequip__splpwr	|__attainable	|__flags2
17780	Blade of Eternal Darkness	4	inv_sword_09	58411											29957	69.49999809	33.50000095	1	0	34.33	75											1		69.49999809	33.50000095	34.33		1.5								49									46796			3	21	1.5									0	8192
5040	Shadow Hunter Knife	1	inv_weapon_shortblade_11	73285											20321	35	18	1	0	15.59	55													35	18	15.59		1.7								27												3	13	1.7									0	8192
2164	Gut Ripper	4	inv_sword_13	2432										350000	20312	80	42	1	0	33.89	75													80	42	33.89		1.8								40									27031			3	13	1.8									0	8192
13964	Witchblade	3	inv_weapon_shortblade_25	131593											24775	85	45	1	0	40.63	65									8				85	45	40.63		1.6								57									53612			3	13	1.6								14	0	8192
7714	Hypnotic Blade	3	inv_weapon_shortblade_07	155072											20318	49	26	1	0	26.79	65									8				49	26	26.79		1.4								34									3835			3	13	1.4					3			9	0	8192
1935	Assassin's Blade	3	inv_weapon_shortblade_24	62849							4			65000	20471	39	20	1	0	15.53	50													39	20	15.53		1.9								19									2974			3	13	1.9				3					0	8192
12783	Heartseeker	3	inv_sword_17	411016											23248	92	49	1	0	41.47	65											1	1	92	49	41.47		1.7								58			1						58215			3	13	1.7				4					0	8192
12590	Felstriker	4	inv_weapon_shortblade_25	100845											25613	101	54	1	0	45.59	75													101	54	45.59		1.7								58									75624			3	13	1.7									0	8192
14555	Alcor's Sunrazor	4	inv_sword_34	0											25612	77	41	1	0	45.38	75					10								77	41	45.38		1.3								58									78772			3	13	1.3									0	8192
7682	Torturing Poker	3	inv_spear_01	295937											6555	39	21	1	0	17.65	65													39	21	17.65		1.7								29									7678			3	13	1.7									0	8192
6220	Meteor Shard	3	inv_weapon_shortblade_25	461288											20536	43	23	1	0	18.33	65											1		43	23	18.33		1.8								24									4893			3	13	1.8									0	8192
6691	Swinetusk Shank	3	inv_misc_bone_06	83463											12880	45	24	1	0	23	65											1		45	24	23		1.5								30									8866			3	13	1.5					4		6		0	8192
12791	Barman Shanker	3	inv_drink_10	320968											23262	95	51	1	0	36.5	65													95	51	36.5		2								50									39411			7	21	2									0	8192
18816	Perdition's Blade	4	inv_sword_48	132222											33615	137	73	1	0	58.33	75											1		137	73	58.33		1.8								60									148714			3	13	1.8									0	8192
3336	Flesh Piercer	2	inv_weapon_shortblade_10	0										11200	20341	40	21	1	0	15.25	55													40	21	15.25		2								24									3986			3	13	2									0	8192
2163	Shadowblade	4	inv_sword_12	510175											20291	71	38	1	0	38.93	75											1		71	38	38.93		1.4								48									46710			3	13	1.4									0	8192
6831	Black Menace	3	inv_sword_13	119288											20292	58	31	1	0	29.67	65													58	31	29.67		1.5																	17522			3	13	1.5									0	8192
12709	Finkle's Skinner	3	inv_sword_33	233090											22977	70	37	1	0	41.15	65													70	37	41.15		1.3								58									57991			3	21	1.3									0	8192
776	Vendetta	3	inv_weapon_shortblade_02	329412							6			309595	6452	33	17	1	0	19.23	65											1		33	17	19.23		1.3								26									5765			3	13	1.3									0	8192
10761	Coldrage Dagger	3	inv_sword_34	77891											20572	58	31	1	0	29.67	65													58	31	29.67		1.5								39									17193			3	13	1.5									0	8192
2236	Blackfang	3	inv_weapon_shortblade_02	6832										12000	20345	32	17	1	0	16.33	50											1		32	17	16.33		1.5								20									3386		5	3	13	1.5					2				0	8192
9453	Toxic Revenger	3	inv_weapon_shortblade_02	463393											20595	51	27	1	0	20.53	65											1		51	27	20.53		1.9								27									6592			3	13	1.9									0	8192
5093	Razormane Backstabber	1	inv_weapon_shortblade_04	84148											20392	21	11	1	0	9.41	40													21	11	9.41		1.7								16									247			3	13	1.7									0	8192
2912	Claw of the Shadowmancer	3	inv_weapon_shortblade_16	280915										98800	20320	51	27	1	0	20.53	65									2		1		51	27	20.53		1.9								27									6731			3	13	1.9									0	8192
10750	Lifeforce Dirk	3	inv_sword_21	54813											20569	75	40	1	0	35.94	65													75	40	35.94		1.6																	35315			3	13	1.6							11		0	8192
4091	Widowmaker	3	inv_weapon_shortblade_03	416056							8			45000	20380	78	42	1	0	31.58	65											1		78	42	31.58		1.9								42									22479			3	13	1.9				7					0	8192
8006	The Ziggler	3	inv_weapon_shortblade_25	228876											20326	59	31	1	0	26.47	65													59	31	26.47		1.7								34									12472			3	13	1.7									0	8192
5756	Sliverblade	3	inv_weapon_shortblade_24	313080										42500	20591	46	24	1	0	25	65													46	24	25		1.4								32									10026			3	13	1.4									0	8192
7298	Blade of Cunning	2	inv_weapon_shortblade_26	49229							2	8			20425	18	9	1	0	6.75	30											1		18	9	6.75		2																	468			3	13	2									0	8192
6681	Thornspike	1	inv_weapon_shortblade_10	57361										2700	20593	35	18	1	0	15.59	55													35	18	15.59		1.7								27									3124			3	13	1.7									0	8192
2941	Prison Shank	3	inv_weapon_shortblade_18	81962							5				20359	39	21	1	0	16.67	60													39	21	16.67		1.8								21									3552			3	13	1.8							2		0	8192
6904	Bite of Serra'kis	3	inv_misc_monsterfang_01	403251											20575	30	16	1	0	17.69	60													30	16	17.69		1.3								23									4665			3	13	1.3									0	8192
10703	Fiendish Skiv	2	inv_sword_21	0											20297	66	35	1	0	26.58	55													66	35	26.58		1.9																	16792			3	13	1.9				8					0	8192
18805	Core Hound Tooth	4	inv_weapon_shortblade_11	412239						20					33626	107	57	1	0	51.25	75											1	1	107	57	51.25		1.6								60			1						109275			3	13	1.6							9		0	8192
17710	Charstone Dirk	3	inv_weapon_shortblade_14	161046											29872	75	40	1	0	35.94	65									11	2			75	40	35.94		1.6								49									35483			3	21	1.6									0	8192
2567	Evocator's Blade	3	inv_weapon_shortblade_15	81949										15000	20590	32	17	1	0	15.31	50									4		1		32	17	15.31		1.6								18									2509			3	13	1.6					2				0	8192
9384	Stonevault Shiv	3	inv_weapon_shortblade_18	329468							7				18264	47	25	1	0	24	65											1		47	25	24		1.5								31									9789			3	13	1.5							3		0	8192
19166	Black Amnesty	4	inv_weapon_shortblade_12	6287											31686	100	53	1	0	47.81	75													100	53	47.81		1.6								60									92896			3	13	1.6									0	8192
6660	Julie's Dagger	3	inv_weapon_shortblade_07	114529										100000	13001	62	33	1	0	36.54	65													62	33	36.54		1.3								50									36157			3	13	1.3									0	8192
9520	Silent Hunter	2	inv_weapon_shortblade_18	19561							7				20574	54	29	1	0	23.06	55													54	29	23.06		1.8																	11461			3	13	1.8									0	8192
20657	Crystal Tipped Stiletto	3	inv_weapon_shortblade_27	108881						24					33107	98	52	1	0	39.47	65											1		98	52	39.47		1.9								55									47443			3	13	1.9							5		0	8192
19100	Electrified Dagger	3	inv_weapon_shortblade_15	286726							10				31606	100	53	1	0	42.5	65											1		100	53	42.5		1.8								60									63300			3	13	1.8									0	8192
22802	Kingsfall	4	inv_weapon_shortblade_37	120880							16				35819	158	105	1	0	73.06	75											1	1	158	105	73.06	1	1.8								60			1					1	265185			3	13	1.8									0	8192
9467	Gahz'rilla Fang	2	inv_misc_monsterfang_01	57532											20311	66	35	1	0	28.06	55											1		66	35	28.06		1.8								42									18681			3	13	1.8									0	8192
17071	Gutgore Ripper	4	inv_weapon_shortblade_18	290647											34111	119	63	1	0	50.56	75													119	63	50.56		1.8								60									104472			3	13	1.8									0	8192
10828	Dire Nail	3	inv_weapon_shortblade_16	252817											20273	72	38	1	0	36.67	65											1		72	38	36.67		1.5								51									40427		5	3	13	1.5									0	8192
1465	Tigerbane	2	inv_weapon_shortblade_15	70108										9500	20594	51	27	1	0	20.53	55													51	27	20.53		1.9								33									9824			3	13	1.9									0	8192
20035	Glacial Spike	3	inv_weapon_shortblade_06	329490											32592	59	31	1	0	34.62	65									4				59	31	34.62		1.3																	30651			3	13	1.3									0	8192
5627	Relic Blade	2	inv_weapon_shortblade_05	0											20354	24	12	1	0	10	40													24	12	10		1.8																	1379			3	13	1.8							3		0	8192
3413	Doomspike	3	inv_sword_29	314605										40000	20589	32	17	1	0	16.33	50													32	17	16.33		1.5								20									3229			3	13	1.5				3			3		0	8192
4454	Talon of Vultros	3	inv_weapon_shortblade_16	113544							5				20592	44	23	1	0	16.75	60											1		44	23	16.75		2								21									3800			3	13	2					2				0	8192
24222	The Shadowfoot Stabber	3	inv_weapon_shortblade_18	11195						18					30724	88	47	1	0	37.5	65													88	47	37.5		1.8								52									44210			3	13	1.8							8		0	8192
13984	Darrowspike	3	inv_weapon_shortblade_21	61015											26679	81	43	1	0	41.33	65													81	43	41.33		1.5																	57806			3	13	1.5									0	8192
17752	Satyr's Lash	3	inv_weapon_shortblade_09	69008											29931	74	39	1	0	33.24	65											1		74	39	33.24		1.7								45									28785			3	13	1.7									0	8192
18392	Distracting Dagger	3	inv_weapon_shortblade_05	118030											6443	64	42	1	0	40.77	65													64	42	40.77		1.3								57									56710			3	22	1.3									0	8192
5540	Pearl-handled Dagger	2	inv_weapon_shortblade_05	60453							2			7000	6439	26	13	1	0	11.47	45													26	13	11.47		1.7								18									2107			3	13	1.7							2		0	8192
23044	Harbinger of Doom	4	inv_knife_1h_stratholme_d_03	2392							8				35246	126	83	1	0	65.31	75											1	1	126	83	65.31	1	1.6								60			1					1	194870			3	13	1.6							8		0	8192
14151	Chanting Blade	2	inv_weapon_shortblade_25	81948							1				24990	18	9	1	0	9	40													18	9	9		1.5								13									1055			3	13	1.5							1		0	8192
5267	Scarlet Kris	3	inv_weapon_shortblade_03	411193							10				3363	81	43	1	0	41.33	65											1		81	43	41.33		1.5								58									59851			3	13	1.5							10		0	8192
19099	Glacial Blade	3	inv_weapon_shortblade_06	414941							10				31605	100	53	1	0	42.5	65											1		100	53	42.5		1.8								60									63065			3	13	1.8									0	8192
19545	Scout's Blade	3	inv_weapon_shortblade_15	19506							7				32074	47	25	1	0	21.18	65											1		47	25	21.18		1.7								28									6969			3	13	1.7							3		0	8192
18372	Blade of the New Moon	3	inv_weapon_shortblade_18	261339											30724	74	40	1	0	40.71	65													74	40	40.71		1.4								57									56716	19		3	21	1.4							5		0	8192
13368	Bonescraper	3	inv_weapon_shortblade_12	244375						30					25614	74	40	1	0	40.71	65													74	40	40.71		1.4								57									55438			3	13	1.4									0	8192
6331	Howling Blade	3	inv_weapon_shortblade_15	89591										40000	20333	44	23	1	0	23.93	65											1		44	23	23.93		1.4								31									9466			3	13	1.4									0	8192
4446	Blackvenom Blade	3	inv_weapon_shortblade_02	81959							1			20000	20369	39	21	1	0	16.67	60													39	21	16.67		1.8								21									3594			3	13	1.8									0	8192
23168	Scorn's Focal Dagger	3	inv_weapon_shortblade_07	103380											35589	42	22	1	0	22.86	65													42	22	22.86		1.4								30									2665			3	13	1.4								9	0	8192
19324	The Lobotomizer	4	inv_sword_29	3644											31820	111	59	1	0	47.22	75											1		111	59	47.22		1.8								60									251323			3	13	1.8									0	8192
18878	Sorcerous Dagger	4	inv_weapon_shortblade_07	473755											31337	78.99999771	39.00000076	1	0	42.14	75									17		1		78.99999771	39.00000076	42.14		1.4								60									85645			3	21	1.4							8	20	0	8192
21404	Dagger of Veiled Shadows	4	inv_weapon_shortblade_27	290648							15	8			33734	121	65	1	0	51.67	75				498									121	65	51.67	1	1.8								60								1				3	13	1.8				7					0	8192
3490	Deadly Bronze Poniard	2	inv_weapon_shortblade_05	22963							4			7500	6445	30	16	1	0	12.78	45													30	16	12.78		1.8								20									2731			3	13	1.8									0	8192
3848	Big Bronze Knife	2	inv_weapon_shortblade_04	12540										3000	6434	25	13	1	0	10	40													25	13	10		1.9								15									1426			3	13	1.9							3		0	8192
12247	Broad Bladed Knife	2	inv_weapon_shortblade_04	462931					28372						22247	44	23	1	0	16.75	55													44	23	16.75		2								27									5674			3	13	2							5		0	8192
10625	Stealthblade	3	inv_sword_41	407812											20315	60	32	1	0	32.86	65											1		60	32	32.86		1.4								44									27366			3	13	1.4									0	8192
5616	Gutwrencher	3	inv_sword_31	263126											20376	66	35	1	0	31.56	65											1		66	35	31.56		1.6								42									22738			3	13	1.6									0	8192
12531	Searing Needle	3	inv_weapon_shortblade_03	18933										85000	22721	80	42	1	0	33.89	65											1		80	42	33.89		1.8								46									28883			3	13	1.8									0	8192
22688	Verimonde's Last Resort	3	inv_weapon_shortblade_03	13798											35094	76.47999878	39.48000107	1	0	41.41	65									8		1		76.47999878	39.48000107	41.41		1.4																	64512			3	21	1.4							7	19	0	8192
19544	Scout's Blade	3	inv_weapon_shortblade_15	112040							8				32074	65	34	1	0	29.12	65											1		65	34	29.12		1.7								38									17358			3	13	1.7							3		0	8192
19859	Fang of the Faceless	4	inv_weapon_shortblade_30	345						28					32575	123	66	1	0	49.74	75											1	1	123	66	49.74		1.9								60			1						100605			3	13	1.9									0	8192
17070	Fang of the Mystics	4	inv_weapon_shortblade_06	55541											29706	85.70000267	38.69999886	1	0	41.47	75									10	4			85.70000267	38.69999886	41.47		1.5								60									109307			3	13	1.5		1						40	0	8192
19549	Sentinel's Blade	3	inv_weapon_shortblade_14	286713							7				32075	47	25	1	0	21.18	65											1		47	25	21.18		1.7								28									7074			3	13	1.7							3		0	8192
9680	Tok'kar's Murloc Shanker	2	inv_weapon_shortblade_18	19560							6				20475	52	28	1	0	25	55													52	28	25		1.6																	14090			3	13	1.6							3		0	8192
12259	Glinting Steel Dagger	2	inv_weapon_shortblade_05	30924						12					4119	37	19	1	0	18.67	55													37	19	18.67		1.5								31									8072			3	13	1.5									0	8192
11922	Blood-etched Blade	3	inv_weapon_shortblade_15	34900											25609	74	39	1	0	37.67	65													74	39	37.67		1.5								52									43491			3	13	1.5							12	6	0	8192
20443	Sentinel's Blade	3	inv_weapon_shortblade_14	16756							4				32075	34	18	1	0	15.29	50											1		34	18	15.29		1.7								18									2610			3	13	1.7							2		0	8192
6448	Tail Spike	2	inv_weapon_shortblade_10	88574							2				20349	26	14	1	0	11.11	45													26	14	11.11		1.8								17									1942			3	13	1.8				2					0	8192
20214	Mindfang	4	inv_sword_13	402375			35		428268						32648	95.30999832	46.31000023	1	0	41.65	75													95.30999832	46.31000023	41.65		1.7							510	60		7							85653			3	13	1.7		1					8	30	0	8192
12582	Keris of Zul'Serak	3	inv_weapon_shortblade_12	271651											28789	93	49	1	0	39.44	65													93	49	39.44		1.8								55									51199			3	13	1.8									0	8192
11856	Ceremonial Elven Blade	2	inv_sword_13	69717							6				28312	63	33	1	0	26.67	55													63	33	26.67		1.8																	15775			3	13	1.8							3		0	8192
5752	Wyvern Tailspike	2	inv_weapon_shortblade_16	0										9000	20596	32	17	1	0	13.61	50													32	17	13.61		1.8								21									3109			3	13	1.8									0	8192
15443	Kris of Orgrimmar	2	inv_weapon_shortblade_05	49227											28199	18	9	1	0	9	40													18	9	9		1.5																	1119			3	13	1.5					1		1		0	8192
2494	Stiletto	1	inv_weapon_shortblade_05	462986					401						22136	7	3	1	0	3.33	25													7	3	3.33		1.5								3									80			3	13	1.5									0	8192
21126	Death's Sting	4	inv_weapon_shortblade_33	290652						38					34513	144	95	1	0	66.39	75											1		144	95	66.39		1.8								60									206967			3	13	1.8							10		0	8192
4449	Naraxis' Fang	2	inv_misc_monsterfang_01	19322											20439	29	15	1	0	13.75	50													29	15	13.75		1.6								22									3332			3	13	1.6									0	8192
20441	Scout's Blade	3	inv_weapon_shortblade_15	81954							4				32074	34	18	1	0	15.29	50											1		34	18	15.29		1.7								18									2433			3	13	1.7							2		0	8192
13218	Fang of the Crystal Spider	3	inv_weapon_shortblade_16	103572											23791	84	45	1	0	40.31	65				65							1		84	45	40.31		1.6								56									53388			3	13	1.6									0	8192
22377	The Thunderwood Poker	3	inv_sword_17	0							13				34849	100	53	1	0	42.5	65											1		100	53	42.5		1.8																	64976			3	13	1.8							6		0	8192
19548	Sentinel's Blade	3	inv_weapon_shortblade_14	286714							8				32075	65	34	1	0	29.12	65											1		65	34	29.12		1.7								38									16376			3	13	1.7							3		0	8192
2908	Thornblade	2	inv_weapon_shortblade_15	0							3				20605	21	11	1	0	10	40													21	11	10		1.6																	1409			3	13	1.6									0	8192
12248	Daring Dirk	2	inv_weapon_shortblade_15	61697					32029		5				22248	37	19	1	0	17.5	55													37	19	17.5		1.6								29									6405			3	13	1.6									0	8192
899	Venom Web Fang	2	inv_misc_monsterfang_01	24436										1500	6459	19	10	1	0	9.67	40													19	10	9.67		1.5								14									1248			3	13	1.5									0	8192
3187	Sacrificial Kris	2	inv_weapon_shortblade_03	26456										14999	20573	47	25	1	0	25.71	55													47	25	25.71		1.4								39									14870			3	13	1.4									0	8192
18840	High Warlord's Razor	4	inv_weapon_shortblade_13	100848						28					31381	143	95	1	0	59.5	75												1	143	95	59.5		2								60			1						48812			3	13	2							7		0	8192
2819	Cross Dagger	2	inv_weapon_shortblade_05	463280										5000	6443	25	13	1	0	14.62	50													25	13	14.62		1.3								23									3830			3	13	1.3									0	8192
19346	Dragonfang Blade	4	inv_weapon_shortblade_29	4202							16				31864	130	69	1	0	55.28	75											1		130	69	55.28		1.8								60									130907			3	13	1.8							13		0	8192
