armor	classs	commondrop	displayid	dps	flags2	id	level	name	reqclass	reqlevel	reqrace	side	slot	slotbak	source__001	source__002	sourcemore__bd	sourcemore__c	sourcemore__c2	sourcemore__icon	sourcemore__dd	sourcemore__n	sourcemore__s	sourcemore__t	sourcemore__ti	sourcemore__z	speed	subclass	firstseenpatch	popularity	contentPhase
	2		29957	34.33	8192	17780	54	4Blade of Eternal Darkness		49			21	21													1.5	15	0	8781	1
	2		20321	15.59	8192	5040	32	7Shadow Hunter Knife		27			13	13	2							Witherbark Shadow Hunter		1	2557	45	1.7	15	0	5460	1
	2		20312	33.89	8192	2164	45	4Gut Ripper		40			13	13	2						-1	Sandfury Shadowcaster		1	5648	1176	1.8	15	0	4558	1
	2		24775	40.63	8192	13964	62	5Witchblade		57			13	13	2						-1	Darkmaster Gandling		1	1853	2057	1.6	15	0	4331	1
	2		20318	26.79	8192	7714	39	5Hypnotic Blade		34			13	13	2						-1	Arcanist Doan		1	6487	796	1.4	15	0	4300	1
	2		20471	15.53	8192	1935	24	5Assassin's Blade		19			13	13	2												1.9	15	0	3784	1
	2		23248	41.47	8192	12783	63	5Heartseeker		58			13	13	1			11		inv_sword_17		Heartseeker	164	6	16995		1.7	15	0	3520	1
	2		25613	45.59	8192	12590	63	4Felstriker		58			13	13													1.7	15	0	3287	1
	2		25612	45.38	8192	14555	63	4Alcor's Sunrazor		58			13	13	2						-1					28	1.3	15	0	3112	1
	2		6555	17.65	8192	7682	34	5Torturing Poker		29			13	13	2						-1	Interrogator Vishas		1	3983	796	1.7	15	0	2715	1
	2		20536	18.33	8192	6220	29	5Meteor Shard		24			13	13	2		1				-1	Archmage Arugal		1	4275	209	1.8	15	0	2331	1
	2		12880	23	8192	6691	35	5Swinetusk Shank		30			13	13	2						-1	Agathelos the Raging		1	4422	491	1.5	15	0	2222	1
	2		23262	36.5	8192	12791	55	5Barman Shanker		50			21	21	2		1				-1	Plugger Spazzring		1	9499	1584	2	15	0	2199	1
	2		33615	58.33	8192	18816	77	4Perdition's Blade		60			13	13	2		1					Ragnaros		1	11502	2717	1.8	15	0	2135	1
	2		20341	15.25	8192	3336	29	6Flesh Piercer		24			13	13	2											267	2	15	0	2115	1
	2		20291	38.93	8192	2163	53	4Shadowblade		48			13	13	2												1.4	15	0	2030	1
	2		20292	29.67	8192	6831	44	5Black Menace		34		1	13	13	4			796	2			In the Name of the Light		5	1053		1.5	15	0	1971	1
	2		22977	41.15	8192	12709	63	5Finkle's Skinner		58			21	21	2						-1	The Beast		1	10430	1583	1.3	15	0	1938	1
	2		6452	19.23	8192	776	31	5Vendetta		26			13	13	2						-1					491	1.3	15	0	1858	1
	2		20572	29.67	8192	10761	44	5Coldrage Dagger		39			13	13	2						-1	Amnennar the Coldbringer		1	7358	722	1.5	15	0	1728	1
	2		20345	16.33	8192	2236	25	5Blackfang		20			13	13	2												1.5	15	0	1613	1
	2		20595	20.53	8192	9453	32	5Toxic Revenger		27			13	13	2		1				-1	Viscous Fallout		1	7079	721	1.9	15	0	1605	1
	2		20392	9.41	8192	5093	21	7Razormane Backstabber		16			13	13	2											17	1.7	15	0	1553	1
	2		20320	20.53	8192	2912	32	5Claw of the Shadowmancer		27			13	13	2												1.9	15	0	1542	1
	2		20569	35.94	8192	10750	54	5Lifeforce Dirk		40			13	13	4			1477	2			The God Hakkar		5	3528		1.6	15	0	1500	1
	2		20380	31.58	8192	4091	47	5Widowmaker		42			13	13	2												1.9	15	0	1363	1
	2		20326	26.47	8192	8006	39	5The Ziggler		34			13	13	2												1.7	15	0	1256	1
	2		20591	25	8192	5756	37	5Sliverblade		32			13	13	2						-1					796	1.4	15	0	1146	1
	2		20425	6.75	8192	7298	13	6Blade of Cunning	8	10			13	13	4												2	15	0	1144	1
	2		20593	15.59	8192	6681	32	7Thornspike		27			13	13	2						-1	Aggem Thorncurse		1	4424	491	1.7	15	0	1119	1
	2		20359	16.67	8192	2941	26	5Prison Shank		21			13	13	2						-1	Bruegal Ironknuckle		1	1720	717	1.8	15	0	1001	1
	2		20575	17.69	8192	6904	28	5Bite of Serra'kis		23			13	13	2						-1	Old Serra'kis		1	4830	719	1.3	15	0	999	1
	2		20297	26.58	8192	10703	45	6Fiendish Skiv		38		2	13	13	4			15	1			Challenge Overlord Mok'Morokk		5	1173		1.9	15	0	942	1
	2		33626	51.25	8192	18805	70	4Core Hound Tooth		60			13	13	2		1				-1					2717	1.6	15	0	915	1
	2		29872	35.94	8192	17710	54	5Charstone Dirk		49			21	21	2		1				-1	Princess Theradras		1	12201	2100	1.6	15	0	910	1
	2		20590	15.31	8192	2567	23	5Evocator's Blade		18			13	13	2						-1					719	1.6	15	0	787	1
	2		18264	24	8192	9384	36	5Stonevault Shiv		31			13	13	2												1.5	15	0	770	1
	2		31686	47.81	8192	19166	66	4Black Amnesty		60			13	13	1			11		inv_weapon_shortblade_12		Black Amnesty	164	6	23638		1.6	15	0	769	3
	2		13001	36.54	8192	6660	55	5Julie's Dagger		50			13	13	2												1.3	15	0	724	1
	2		20574	23.06	8192	9520	41	6Silent Hunter		30		2	13	13	4			45	0			Call to Arms		5	679		1.8	15	0	637	1
	2		33107	39.47	8192	20657	60	5Crystal Tipped Stiletto		55			13	13	2							Crimson Templar		1	15209		1.9	15	0	580	4
	2		31606	42.5	8192	19100	65	5Electrified Dagger		60			13	13													1.8	15	0	565	3
	2		35819	73.06	8192	22802	89	4Kingsfall		60			13	13	2		1					Kel'Thuzad		1	15990	3456	1.8	15	0	563	6
	2		20311	28.06	8192	9467	47	6Gahz'rilla Fang		42			13	13	2		1				-1	Gahz'rilla		1	7273	1176	1.8	15	0	529	1
