"|","|__name_zhcn","|__quality","|__icon","|__screenshot","|__jsonequip__cooldown","|__jsonequip__armor","|__jsonequip__arcres","|__jsonequip__agi","|__jsonequip__atkpwr","|__jsonequip__avgbuyout","|__jsonequip__def","|__jsonequip__buyprice","|__jsonequip__classes","|__jsonequip__displayid","|__jsonequip__dmgmax1","|__jsonequip__dmgmin1","|__jsonequip__dmgrange","|__jsonequip__dmgtype1","|__jsonequip__dps","|__jsonequip__dura","|__jsonequip__manargn","|__jsonequip__mlecritstrkpct","|__jsonequip__healthrgn","|__jsonequip__firres","|__jsonequip__frores","|__jsonequip__holsplpwr","|__jsonequip__maxcount","|__jsonequip__int","|__jsonequip__mledmgmax","|__jsonequip__mledmgmin","|__jsonequip__mledps","|__jsonequip__mlehitpct","|__jsonequip__mlespeed","|__jsonequip__races","|__jsonequip__reqskill","|__jsonequip__reqskillrank","|__jsonequip__natres","|__jsonequip__parrypct","|__jsonequip__reqlevel","|__jsonequip__rgdcritstrkpct","|__jsonequip__rgdhitpct","|__jsonequip__sellprice","|__jsonequip__shares","|__jsonequip__sheathtype","|__jsonequip__slotbak","|__jsonequip__speed","|__jsonequip__splcritstrkpct","|__jsonequip__splpwr","|__jsonequip__spi","|__jsonequip__splheal","|__jsonequip__sta","|__jsonequip__str","|__attainable","|__flags2"
"6975","旋风之斧","3","inv_axe_12","242600","","","","","","","","","1","22734","154","102","1","0","35.56","100","","","","","","","","","154","102","35.56","","3.6","","","","","","","","","16766","","1","17","3.6","","","","","14","15","0","8192"
"3853","月钢宽剑","2","inv_sword_25","69983","","","","","","39800","","","","7324","83","55","1","0","24.64","85","","","","","","","","","83","55","24.64","","2.8","","","","","","31","","","10153","","1","17","2.8","","","12","","4","","0","8192"
"7717","破坏者","3","inv_weapon_halberd_05","82029","","","","","","","","","","22221","157","104","1","0","37.29","100","","","","","","","","","157","104","37.29","","3.5","","","","","","37","","","18923","","1","17","3.5","","","","","","","0","8192"
"6953","维里甘之拳","3","inv_hammer_05","151895","","","","","","","","","2","13466","99","65","1","0","25.63","100","","","","","","","","6","99","65","25.63","","3.2","","","","","","","","","7459","","1","17","3.2","","","12","","7","","0","8192"
"9372","鞭笞者苏萨斯","4","inv_sword_40","293094","","","","","","","","","","20616","163","108","1","0","52.12","120","","","","","","","1","","163","108","52.12","","2.6","","","","","","50","","","61936","","1","17","2.6","","","","","","","0","8192"
"12784","奥金斧","3","inv_axe_09","89138","","","","","62","","","","","23904","256","153","1","0","53.82","100","","","","","","","","","256","153","53.82","","3.8","","","","","","58","","","73036","","1","17","3.8","","","","","13","","0","8192"
"6687","尸体制造者","3","inv_weapon_halbard_01","64899","","","","","","","","","","22217","132","88","1","0","28.95","100","","","","","","","","","132","88","28.95","","3.8","","","","","","29","","","9930","","1","17","3.8","","","","","8","15","0","8192"
"9449","手动惩戒器","3","inv_mace_14","3288","","","","5","","","","","","19645","70","46","1","0","29","100","","","","","","","","","70","46","29","","2","","","","","","29","","","9564","","1","17","2","","","","","","16","0","8192"
"6830","咬骨之斧","3","inv_axe_04","4646","","","","","","","","","","18607","159","105","1","0","38.82","100","","","","","","","","","159","105","38.82","","3.4","","","","","","","","","23476","","1","17","3.4","","","","","10","20","0","8192"
"19169","夜幕","4","inv_axe_12","268816","","","","","","","","","","31735","282","187","1","0","67","120","","","","","","","","","282","187","67","","3.5","","","","","","60","","","129112","","1","17","3.5","","","","","","","0","8192"
