"armor","classs","commondrop","displayid","dps","flags2","id","level","name","reqclass","reqlevel","reqrace","side","slot","slotbak","source__001","source__002","sourcemore__bd","sourcemore__dd","sourcemore__c","sourcemore__icon","sourcemore__c2","sourcemore__n","sourcemore__s","sourcemore__t","sourcemore__ti","sourcemore__z","speed","subclass","firstseenpatch","popularity","contentPhase"
"","2","","22734","35.56","8192","6975","40","5旋风之斧","1","30","","","17","17","4","","","","-81","","4","[Whirlwind Weapon]","","5","1792","","3.60","1","0","14010","1"
"","2","","7324","24.64","8192","3853","36","6月钢宽剑","","31","","","17","17","1","","","","11","inv_sword_25","","月钢宽剑","164","6","3496","","2.80","8","0","13146","1"
"","2","","22221","37.29","8192","7717","42","5破坏者","","37","","","17","17","2","","","-1","","","","赫洛德","","1","3975","796","3.50","1","0","10874","1"
"","2","","13466","25.63","8192","6953","31","5维里甘之拳","2","20","","1","17","17","4","","","","-141","","4","[The Test of Righteousness]","","5","1806","","3.20","5","0","8730","1"
"","2","","20616","52.12","8192","9372","55","4鞭笞者苏萨斯","","50","","","17","17","","","","","","","","","","","","","2.60","8","0","7929","1"
"","2","","23904","53.82","8192","12784","63","5奥金斧","","58","","","17","17","1","","","","11","inv_axe_09","","奥金斧","164","6","16994","","3.80","1","0","7718","1"
"","2","","22217","28.95","8192","6687","34","5尸体制造者","","29","","","17","17","2","","","-1","","","","主宰拉姆塔斯","","1","4420","491","3.80","1","0","7453","1"
"","2","","19645","29.00","8192","9449","34","5手动惩戒器","","29","","","17","17","2","","1","-1","","","","群体打击者9-60","","1","6229","721","2.00","5","0","6692","1"
"","2","","18607","38.82","8192","6830","44","5咬骨之斧","","34","","1","17","17","4","","","","796","","2","以圣光之名","","5","1053","","3.40","1","0","6590","1"
"","2","","31735","67.00","8192","19169","70","4夜幕","","60","","","17","17","1","","","","11","inv_axe_12","","夜幕","164","6","23653","","3.50","1","0","6501","3"
"","2","","29698","80.41","8192","17182","80","3萨弗拉斯，炎魔拉格纳罗斯之手","","60","","","17","17","","","","","","","","","","","","","3.70","5","0","6151","2"
"","2","","22731","35.52","8192","6977","40","5旋风之剑","1","30","","","17","17","4","","","","-81","","4","[Whirlwind Weapon]","","5","1792","","2.90","8","0","5066","1"
"","2","","19305","47.36","8192","2291","49","4斩首者康恩","","44","","","17","17","2","","","","","","","","","","","","3.60","1","0","5061","1"
"","2","","20191","43.39","8192","1982","44","4夜刃","","39","","","17","17","2","","","","","","","","","","","","2.80","8","0","4623","1"
"","2","","33458","40.34","8192","870","40","4炽炎战斧","","35","","","17","17","2","","","","","","","","","","","","2.90","1","0","4519","1"
"","2","","25079","35.74","8192","6976","40","5旋风之锤","1","30","","","17","17","4","","","","-81","","4","[Whirlwind Weapon]","","5","1792","","3.40","5","0","4064","1"
"","2","","19389","27.73","8192","2299","33","5燃烧战斧","","28","","","17","17","2","","","","","","","","","","","","3.30","1","0","4006","1"
"","2","","22220","38.88","8192","9425","44","5厄运之锤","","39","","","17","17","2","","","-1","","","","石窟争斗者","","1","4855","1337","4.00","1","0","3788","1"
"","2","","20251","23.94","8192","2000","35","6阿契厄斯","","28","","1","17","17","4","","","","10","","0","[A Daughter's Love]","","5","231","","3.30","8","0","3687","1"
"","2","","34112","64.71","8192","18822","68","4黑曜石之刃","","60","","","17","17","2","","1","","","","","","","","","2717","3.40","8","0","3635","1"
"","2","","22906","59.43","8192","12592","63","4沙赫拉姆黑剑","","58","","","17","17","","","","","","","","","","","","","3.50","8","0","3542","1"
"","2","","29699","63.65","8192","17193","67","4萨弗隆战锤","","60","","","17","17","1","","","","11","inv_hammer_unique_sulfuras","","萨弗隆战锤","164","6","21161","","3.70","5","0","3531","1"
"","2","","24166","59.44","8192","13505","63","4瑞文戴尔之剑","","58","","","17","17","","","","","","","","","","","","","3.60","8","0","3407","1"
"","2","","20190","53.85","8192","647","57","4命运","","52","","","17","17","2","","","","","","","","","","","","2.60","8","0","3382","1"
"","2","","23228","41.84","8192","13018","48","5刽子手之斧","","43","","","17","17","2","","","","","","","","","","","","3.80","1","0","3334","1"
"","2","","31613","53.89","8192","19106","63","5冰刺长矛","","51","","","17","17","4","","","","","","","","","","","2597","3.60","6","0","3314","3"
"","2","","19620","42.70","8192","9413","49","5轰石之锤","","44","","","17","17","2","","1","-1","","","","阿扎达斯","","1","2748","1337","3.70","5","0","3227","1"
"","2","","35097","90.00","8192","22691","86","4堕落的灰烬使者","","60","","","17","17","2","","1","","","","","","","2","181366","3456","3.60","8","0","3226","6"
"","2","","29907","45.78","8192","17730","53","5鳄齿利斧","","48","","","17","17","2","","1","-1","","","","洛特格里普","","1","13596","2100","3.20","1","0","2956","1"
"","2","","20193","42.69","8192","9418","49","5斩石者","","44","","","17","17","2","","1","-1","","","","阿扎达斯","","1","2748","1337","3.90","8","0","2933","1"
"","2","","28624","45.00","8192","13052","52","5好战者","","47","","","17","17","2","","","","","","","","","","","","3.00","8","0","2856","1"
"","2","","20185","25.61","8192","6909","31","5海蛇之击","","26","","","17","17","2","","","-1","","","","阿库麦尔","","1","4829","719","3.30","8","0","2853","1"
"","2","","32000","81.86","8192","19364","81","4阿什坎迪，兄弟会之剑","","60","","","17","17","2","","1","","","","","奈法利安","","1","11583","2677","3.50","8","0","2679","3"
"","2","","21252","38.93","8192","7723","44","5莫格莱尼的力量","","39","","","17","17","2","","","-1","","","","血色十字军指挥官莫格莱尼","","1","3976","796","2.80","5","0","2678","1"
"","2","","28719","50.54","8192","11931","59","5恐怖复仇者","","54","","","17","17","2","","1","-1","","","","达格兰·索瑞森大帝","","1","9019","1584","3.70","1","0","2647","1"
"","2","","15466","28.91","8192","7730","34","5钴蓝粉碎者","","29","","","17","17","2","","","-1","","","","","","","","796","3.20","5","0","2409","1"
"","2","","32199","75.88","8192","17076","77","4削骨之刃","","60","","","17","17","2","","1","","","","","拉格纳罗斯","","1","11502","2717","3.40","8","0","2371","1"
"","2","","20071","19.60","8192","12992","23","5灼热之刃","","18","","","17","17","2","","","","","","","","","","","","2.50","8","0","2310","1"
"","2","","23908","49.75","8192","13285","58","5刀片斧","","53","","","17","17","2","","1","-1","","","","尖石统帅","","1","9218","1583","4.00","1","0","2212","1"
"","2","","29939","46.47","8192","17766","54","5瑟莱德丝公主的节杖","","49","","","17","17","2","","1","-1","","","","瑟莱德丝公主","","1","12201","2100","3.40","5","0","2192","1"
"","2","","19779","37.27","8192","10758","42","5石猪剑","","35","","","17","17","2","","","-1","","","","拉戈斯诺特","","1","7354","722","3.30","8","0","1953","1"
