"|","|__name_enus","|__quality","|__icon","|__screenshot","|__jsonequip__cooldown","|__jsonequip__arcres","|__jsonequip__armor","|__jsonequip__agi","|__jsonequip__atkpwr","|__jsonequip__avgbuyout","|__jsonequip__buyprice","|__jsonequip__def","|__jsonequip__classes","|__jsonequip__displayid","|__jsonequip__dmgmax1","|__jsonequip__dmgmin1","|__jsonequip__dmgrange","|__jsonequip__dmgtype1","|__jsonequip__dps","|__jsonequip__dura","|__jsonequip__manargn","|__jsonequip__healthrgn","|__jsonequip__int","|__jsonequip__firres","|__jsonequip__frores","|__jsonequip__holsplpwr","|__jsonequip__maxcount","|__jsonequip__mlecritstrkpct","|__jsonequip__mledmgmax","|__jsonequip__mledmgmin","|__jsonequip__mledps","|__jsonequip__mlehitpct","|__jsonequip__mlespeed","|__jsonequip__races","|__jsonequip__reqskill","|__jsonequip__reqskillrank","|__jsonequip__natres","|__jsonequip__parrypct","|__jsonequip__reqlevel","|__jsonequip__rgdcritstrkpct","|__jsonequip__rgdhitpct","|__jsonequip__sellprice","|__jsonequip__shares","|__jsonequip__sheathtype","|__jsonequip__slotbak","|__jsonequip__speed","|__jsonequip__splcritstrkpct","|__jsonequip__splpwr","|__jsonequip__spi","|__jsonequip__splheal","|__jsonequip__sta","|__jsonequip__str","|__attainable","|__flags2"
"6975","Whirlwind Axe","3","inv_axe_12","242600","","","","","","","","","1","22734","154","102","1","0","35.56","100","","","","","","","","","154","102","35.56","","3.6","","","","","","","","","16766","","1","17","3.6","","","","","14","15","0","8192"
"7717","Ravager","3","inv_weapon_halberd_05","82029","","","","","","","","","","22221","157","104","1","0","37.29","100","","","","","","","","","157","104","37.29","","3.5","","","","","","37","","","18923","","1","17","3.5","","","","","","","0","8192"
"3853","Moonsteel Broadsword","2","inv_sword_25","69983","","","","","","39800","","","","7324","83","55","1","0","24.64","85","","","","","","","","","83","55","24.64","","2.8","","","","","","31","","","10153","","1","17","2.8","","","12","","4","","0","8192"
"6687","Corpsemaker","3","inv_weapon_halbard_01","64899","","","","","","","","","","22217","132","88","1","0","28.95","100","","","","","","","","","132","88","28.95","","3.8","","","","","","29","","","9930","","1","17","3.8","","","","","8","15","0","8192"
"12784","Arcanite Reaper","3","inv_axe_09","89138","","","","","62","","","","","23904","256","153","1","0","53.82","100","","","","","","","","","256","153","53.82","","3.8","","","","","","58","","","73036","","1","17","3.8","","","","","13","","0","8192"
"17182","Sulfuras, Hand of Ragnaros","5","inv_hammer_unique_sulfuras","330071","","","","","","","","","","29698","372","223","1","0","80.41","145","","","","30","","","1","","372","223","80.41","","3.7","","","","","","60","","","332623","","1","17","3.7","","","","","12","12","0","8192"
"9449","Manual Crowd Pummeler","3","inv_mace_14","3288","","","","5","","","","","","19645","70","46","1","0","29","100","","","","","","","","","70","46","29","","2","","","","","","29","","","9564","","1","17","2","","","","","","16","0","8192"
"6953","Verigan's Fist","3","inv_hammer_05","151895","","","","","","","","","2","13466","99","65","1","0","25.63","100","","","6","","","","","","99","65","25.63","","3.2","","","","","","","","","7459","","1","17","3.2","","","12","","7","","0","8192"
"9372","Sul'thraze the Lasher","4","inv_sword_40","293094","","","","","","","","","","20616","163","108","1","0","52.12","120","","","","","","","1","","163","108","52.12","","2.6","","","","","","50","","","61936","","1","17","2.6","","","","","","","0","8192"
"6830","Bonebiter","3","inv_axe_04","4646","","","","","","","","","","18607","159","105","1","0","38.82","100","","","","","","","","","159","105","38.82","","3.4","","","","","","","","","23476","","1","17","3.4","","","","","10","20","0","8192"
"19169","Nightfall","4","inv_axe_12","268816","","","","","","","","","","31735","282","187","1","0","67","120","","","","","","","","","282","187","67","","3.5","","","","","","60","","","129112","","1","17","3.5","","","","","","","0","8192"
"6977","Whirlwind Sword","3","inv_sword_15","11279","","","","","","","","","1","22731","124","82","1","0","35.52","100","","","","","","","","","124","82","35.52","","2.9","","","","","","","","","17325","","1","17","2.9","","","","","14","15","0","8192"
"870","Fiery War Axe","4","inv_axe_02","64004","","","","","","","","","","33458","141","93","1","0","40.34","120","","","","","","","","","141","93","40.34","","2.9","","","","","","35","","","21528","","1","17","2.9","","","","","","","0","8192"
"12592","Blackblade of Shahram","4","inv_sword_29","739903","","","","","","","","","","22906","250","166","1","0","59.43","120","","","","","","","","","250","166","59.43","","3.5","","","","","","58","","","95241","","1","17","3.5","","","","","","","0","8192"
"9425","Pendulum of Doom","3","inv_weapon_halberd_08","25537","","","","","","","","","","22220","187","124","1","0","38.88","100","","","","","","","","","187","124","38.88","","4","","","","","","39","","","21489","","1","17","4","","","","","","","0","8192"
"17193","Sulfuron Hammer","4","inv_hammer_unique_sulfuras","83927","","","","","","","","","","29699","295","176","1","0","63.65","120","","","","","","","","","295","176","63.65","","3.7","","","","","","60","","","122311","","1","17","3.7","","","","","","","0","8192"
"2291","Kang the Decapitator","4","inv_axe_15","26280","","","","","","650000","","","","19305","205","136","1","0","47.36","120","","","","","","","","","205","136","47.36","","3.6","","","","","","44","","","44580","","1","17","3.6","","","","","","","0","8192"
"13018","Executioner's Cleaver","3","inv_axe_24","59005","","","","","","","","","","23228","191","127","1","0","41.84","100","","","","","","","","","191","127","41.84","1","3.8","","","","","","43","","1","31967","","1","17","3.8","","","","","","23","0","8192"
"18822","Obsidian Edged Blade","4","inv_sword_28","224596","","","","","","","","","","34112","264","176","1","0","64.71","120","","","","","","","","","264","176","64.71","","3.4","","","","","","60","","","125768","","1","17","3.4","","","","","","42","0","8192"
"6976","Whirlwind Warhammer","3","inv_hammer_08","351802","","","","","","","","","1","25079","146","97","1","0","35.74","100","","","","","","","","","146","97","35.74","","3.4","","","","","","","","","17264","","1","17","3.4","","","","","14","15","0","8192"
"1982","Nightblade","4","inv_sword_02","65245","","","","","","","","","","20191","146","97","1","0","43.39","120","","","","","","","","","146","97","43.39","","2.8","","","","","","39","","","29513","","1","17","2.8","","","","","","","0","8192"
"2000","Archeus","2","inv_sword_08","86293","","","","","","","","","","20251","95","63","1","0","23.94","85","","","","","","","","","95","63","23.94","","3.3","","","","","","","","","8827","","1","17","3.3","","","","","","","0","8192"
